,Neighborhood,Borough,Cluster Labels,Latitude,Longitude
100,Ataköy 7-8-9-10. kısım,Bakırköy,0,40.9802282,28.8562265
101,Basınköy,Bakırköy,0,40.9787732,28.7831158
102,Cevizlik,Bakırköy,0,40.978742,28.8771838
103,Kartaltepe,Bakırköy,0,40.9827173,28.8730183
104,Osmaniye,Bakırköy,0,40.9940252,28.8855397
105,Sakızağacı,Bakırköy,0,40.9784731,28.8816245
106,Şenlikköy,Bakırköy,0,40.9762551,28.7964592
107,Yenimahalle,Bakırköy,0,40.980645,28.8822259
108,Yeşilköy,Bakırköy,0,40.9594296,28.8228902
109,Yeşilyurt,Bakırköy,0,40.9654468,28.8373253
110,Zeytinlik,Bakırköy,0,40.9803562,28.8724259
111,Zuhuratbaba,Bakırköy,0,40.9803562,28.8724259
112,Altınşehir,Başakşehir,0,41.0674718,28.7514278
113,Bahçeşehir 1. Kısım,Başakşehir,0,41.0623058,28.6835394
114,Bahçeşehir 2. Kısım,Başakşehir,0,41.0623058,28.6835394
115,Başak,Başakşehir,0,41.1113112,28.8156282
116,Başakşehir,Başakşehir,0,41.1113112,28.8156282
117,Güvercintepe,Başakşehir,0,41.0895645,28.7497721
118,Kayabaşı,Başakşehir,0,41.1212088,28.7661014
119,Şahintepe,Başakşehir,0,41.088544,28.7252931
120,Ziya Gökalp,Başakşehir,0,41.0745493,28.7864545
121,Altıntepsi,Bayrampaşa,0,41.0377148,28.9013666
122,Cevatpaşa,Bayrampaşa,0,41.0722145,28.8831852
123,İsmetpaşa,Bayrampaşa,0,41.043065,28.9056067
124,Kartaltepe,Bayrampaşa,0,41.0564349,28.9008764
125,Kocatepe,Bayrampaşa,0,41.0484385,28.8955023
126,Muratpaşa,Bayrampaşa,0,41.0493534,28.906701
127,Orta,Bayrampaşa,0,41.03511675,28.918320978201884
128,Terazidere,Bayrampaşa,0,41.0304621,28.8978698
129,Vatan,Bayrampaşa,0,41.0330248,28.9066699
130,Yenidoğan,Bayrampaşa,0,41.0406581,28.913271
131,Yıldırım,Bayrampaşa,0,41.064194,28.8913516
132,Abbasağa,Beşiktaş,0,41.0495742,29.0051707
133,Akatlar,Beşiktaş,0,41.08686495,29.023541724637816
134,Arnavutköy,Beşiktaş,0,41.0672108,29.0437209
135,Balmumcu,Beşiktaş,0,41.0605412,29.0112043
136,Bebek,Beşiktaş,0,41.076615,29.0432596
137,Cihannüma,Beşiktaş,0,41.0435948,29.0075753
138,Dikilitaş,Beşiktaş,0,41.0554313,29.0048495
139,Etiler,Beşiktaş,0,41.0824567,29.0375989
