,Neighborhood,Borough,Cluster Labels,Latitude,Longitude
110,Zeytinlik,Bakırköy,0,40.9803562,28.872425899999996
112,Altınşehir,Başakşehir,0,41.0674718,28.7514278
113,Bahçeşehir 1. Kısım,Başakşehir,0,41.0623058,28.683539399999997
115,Başak,Başakşehir,0,41.1113112,28.8156282
117,Güvercintepe,Başakşehir,0,41.0895645,28.7497721
118,Kayabaşı,Başakşehir,0,41.1212088,28.766101399999997
119,Şahintepe,Başakşehir,0,41.088544,28.725293100000005
120,Ziya Gökalp,Başakşehir,0,41.074549299999994,28.786454499999998
121,Altıntepsi,Bayrampaşa,0,41.037714799999996,28.901366600000003
122,Cevatpaşa,Bayrampaşa,0,41.0722145,28.8831852
123,İsmetpaşa,Bayrampaşa,0,41.043065000000006,28.905606699999996
124,Kartaltepe,Bayrampaşa,0,41.0564349,28.900876399999998
125,Kocatepe,Bayrampaşa,0,41.0484385,28.8955023
126,Muratpaşa,Bayrampaşa,0,41.0493534,28.906701
127,Orta,Bayrampaşa,0,41.03511675,28.918320978201884
128,Terazidere,Bayrampaşa,0,41.0304621,28.897869800000002
129,Vatan,Bayrampaşa,0,41.0330248,28.906669899999997
130,Yenidoğan,Bayrampaşa,0,41.0406581,28.913271
131,Yıldırım,Bayrampaşa,0,41.064194,28.8913516
132,Abbasağa,Beşiktaş,0,41.0495742,29.0051707
133,Akatlar,Beşiktaş,0,41.08686495,29.02354172463782
134,Arnavutköy,Beşiktaş,0,41.0672108,29.043720899999997
135,Balmumcu,Beşiktaş,0,41.0605412,29.0112043
136,Bebek,Beşiktaş,0,41.076615000000004,29.043259600000003
137,Cihannüma,Beşiktaş,0,41.043594799999994,29.007575300000003
138,Dikilitaş,Beşiktaş,0,41.055431299999995,29.0048495
139,Etiler,Beşiktaş,0,41.0824567,29.0375989
140,Gayrettepe,Beşiktaş,0,41.0622256,29.006191100000002
141,Konaklar,Beşiktaş,0,41.0949484,29.015231300000004
142,Kuruçeşme,Beşiktaş,0,41.0602904,29.0365809
143,Kültür,Beşiktaş,0,41.072864700000004,29.032359000000003
144,Levazım,Beşiktaş,0,41.062717799999994,29.0194489
145,Levent,Beşiktaş,0,41.0758404,29.014480300000002
146,Mecidiye,Beşiktaş,0,41.0472944,29.02682679965463
147,Muradiye,Beşiktaş,0,41.048094899999995,28.998997499999998
148,Nisbetiye,Beşiktaş,0,41.071825700000005,29.0222477
149,Ortaköy,Beşiktaş,0,41.0495969,29.029881899999996
150,Sinanpaşa,Beşiktaş,0,41.0428133,29.004871100000003
151,Türkali,Beşiktaş,0,41.047674,29.0023049
152,Ulus,Beşiktaş,0,41.0646636,29.0270709
153,Vişnezade,Beşiktaş,0,41.0418667,29.0052555
154,Yıldız,Beşiktaş,0,41.0533024,29.0095466
155,Acarlar,Beykoz,0,41.0948104,29.0985978
156,Anadoluhisarı,Beykoz,0,41.082082850000006,29.066885241593628
157,Anadolukavağı,Beykoz,0,41.17391,29.088688800000003
158,Baklacı,Beykoz,0,41.0618606,29.1376005
159,Çamlıbahçe,Beykoz,0,41.1484865,29.083077799999998
160,Çengeldere,Beykoz,0,41.0969495,29.14622
161,Çiftlik,Beykoz,0,41.0796939,29.1408276
162,Çiğdem,Beykoz,0,41.1102172,29.0915312
163,Çubuklu,Beykoz,0,41.107563299999995,29.0804463
164,Fatih,Beykoz,0,41.09130855,29.061382938120182
165,Göksu,Beykoz,0,41.0778999,29.071037699999998
166,Göztepe,Beykoz,0,41.0788619,29.0883719
167,Gümüşsuyu,Beykoz,0,41.126124100000006,29.1108046
168,İncirköy,Beykoz,0,41.117246200000004,29.110890500000004
169,Kanlıca,Beykoz,0,41.1002818,29.065224
170,Kavacık,Beykoz,0,41.0901331,29.083183399999996
171,Merkez,Beykoz,0,41.1343422,29.090244000000002
172,Ortaçeşme,Beykoz,0,41.1456738,29.092075199999996
173,Paşabahçe,Beykoz,0,41.1142346,29.09803967715956
174,Rüzgarlıbahçe,Beykoz,0,41.095397999999996,29.0998985
175,Soğuksu,Beykoz,0,41.1117131,29.110480699999997
176,Tokatköy,Beykoz,0,41.1628542,29.1004536
177,Yalıköy,Beykoz,0,41.1411273,29.082829999999998
178,Yavuz Selim,Beykoz,0,41.199726299999995,29.1187922
179,Yenimahalle,Beykoz,0,41.06711325,29.088013351537754
180,Adnan Kahveci,Beylikdüzü,0,40.9990506,28.6284628
181,Barış,Beylikdüzü,0,41.000976200000004,28.653218199999998
182,Büyükşehir,Beylikdüzü,0,41.0055638,28.646667600000004
183,Cumhuriyet,Beylikdüzü,0,41.0103391,28.638707
184,Dereağzı,Beylikdüzü,0,40.97452379999999,28.617906899999998
185,Gürpınar,Beylikdüzü,0,40.99040765,28.618005220280594
186,Kavaklı,Beylikdüzü,0,40.9892544,28.659018900000003
187,Marmara,Beylikdüzü,0,41.001026200000005,28.6419843
188,Sahil,Beylikdüzü,0,40.9685626,28.6456456
189,Yakuplu,Beylikdüzü,0,41.0091794,28.6570175
190,Arapcami,Beyoğlu,0,41.0243422,28.971057000000002
191,Asmalımescit,Beyoğlu,0,41.0309487,28.9749174
192,Bedrettin,Beyoğlu,0,41.0289452,28.968861699999998
193,Bereketzade,Beyoğlu,0,41.0253357,28.973318100000004
194,Bostan,Beyoğlu,0,41.038789200000004,28.976252399999996
195,Bülbül,Beyoğlu,0,41.0391626,28.979882699999997
196,Camiikebir,Beyoğlu,0,41.0349693,28.959313899999998
197,Cihangir,Beyoğlu,0,41.0330402,28.985318699999997
198,Çatmamescit,Beyoğlu,0,41.0321707,28.971799800000003
199,Çukur,Beyoğlu,0,41.037198100000005,28.978094899999995
200,Emekyemez,Beyoğlu,0,41.0260034,28.9703855
201,Evliya Çelebi,Beyoğlu,0,41.0303999,28.973150800000003
202,Fetihtepe,Beyoğlu,0,41.0482932,28.956875300000004
203,Firuzağa,Beyoğlu,0,41.030196000000004,28.980670299999996
204,Gümüşsuyu,Beyoğlu,0,41.037184,28.9885081
205,Hacıahmet,Beyoğlu,0,41.042188,28.9739405
206,Hacımimi,Beyoğlu,0,41.0268054,28.9782783
207,Halıcıoğlu,Beyoğlu,0,41.0488286,28.9496751
208,Hüseyinağa,Beyoğlu,0,41.0349849,28.978467100000003
209,İstiklal,Beyoğlu,0,41.03125670000001,28.975321299999997
210,Kadı Mehmet Efendi,Beyoğlu,0,41.0344208,28.9639158
211,Kamerhatun,Beyoğlu,0,41.0349111,28.9751771
212,Kalyoncukulluğu,Beyoğlu,0,41.036728600000004,28.9756668
213,Kaptanpaşa,Beyoğlu,0,41.0422767,28.963838
214,Katip Mustafa Çelebi,Beyoğlu,0,41.0344829,28.9830132
215,Keçecipiri,Beyoğlu,0,41.0406876,28.9555685
217,Kılıçalipaşa,Beyoğlu,0,41.02641505,28.98096227728434
218,Kocatepe,Beyoğlu,0,41.0395972,28.983571899999998
219,Kulaksız,Beyoğlu,0,41.0376925,28.9607963
220,Kuloğlu,Beyoğlu,0,41.0329638,28.9802501
221,Küçükpiyale,Beyoğlu,0,41.036844200000004,28.967613699999998
222,Müeyyetzade,Beyoğlu,0,41.026337700000006,28.974776399999996
223,Ömeravni,Beyoğlu,0,41.03492,28.9919227
224,Örnektepe,Beyoğlu,0,41.057607399999995,28.9514562
225,Piripaşa,Beyoğlu,0,41.0448597,28.9511039
226,Piyalepaşa,Beyoğlu,0,41.0482626,28.9622478
227,Pürtelaş,Beyoğlu,0,41.03067975,28.98770476787066
228,Sururi,Beyoğlu,0,41.0368958,28.972436057035548
229,Sütlüce,Beyoğlu,0,41.0510201,28.944692
230,Şahkulu,Beyoğlu,0,41.0276403,28.9745318
231,Şehit Muhtar,Beyoğlu,0,41.0367537,28.981869500000002
232,Tomtom,Beyoğlu,0,41.0302066,28.9775437
233,Yahya Kahya,Beyoğlu,0,41.0339473,28.9715307
234,Yenişehir,Beyoğlu,0,41.0422931,28.9781545
235,19 Mayıs,Büyükçekmece,0,41.0527645,28.4242185
236,Ahmediye,Büyükçekmece,0,41.0908328,28.516810200000002
237,Alkent,Büyükçekmece,0,41.09055495,28.62142522444968
238,Atatürk,Büyükçekmece,0,41.01220335,28.604192218697943
239,Bahçelievler,Büyükçekmece,0,41.017174600000004,28.483420199999998
240,Batıköy,Büyükçekmece,0,40.999644599999996,28.5390565
241,Celaliye,Büyükçekmece,0,41.051777,28.418684999999996
242,Cumhuriyet,Büyükçekmece,0,41.0256076,28.62044412806496
243,Çakmaklı,Büyükçekmece,0,41.0544739,28.6228077
244,Dizdariye,Büyükçekmece,0,41.0244044,28.582125599999998
245,Fatih,Büyükçekmece,0,41.02130755,28.596736386342588
246,Güzelce,Büyükçekmece,0,40.999476,28.5120854
247,Hürriyet,Büyükçekmece,0,41.0316384,28.546905100000004
248,Kamiloba,Büyükçekmece,0,41.045196999999995,28.430834
250,Kumburgaz Merkez,Büyükçekmece,0,41.0585503,28.4720738
251,Mimarsinan,Büyükçekmece,0,41.0160925,28.560437300000004
253,Muratçeşme,Büyükçekmece,0,41.017723600000004,28.5352784
254,Pınartepe,Büyükçekmece,0,41.0062136,28.6017081
255,Türkoba,Büyükçekmece,0,41.033268,28.522450699999997
256,Ulus,Büyükçekmece,0,41.03157279999999,28.549247499999996
257,Yenimahalle,Büyükçekmece,0,41.0227188,28.4794083
258,Binkılıç,Çatalca,0,41.3374086,28.0998771
259,Çakıl,Çatalca,0,41.1247706,28.4485283
260,Çiftlikköy,Çatalca,0,41.35144520000001,28.428524699999997
261,Fatih,Çatalca,0,41.4136692,28.1882968
262,Ferhatpaşa,Çatalca,0,41.150510100000005,28.480341999999997
263,İzettin,Çatalca,0,41.1767042,28.503924199999997
264,Kaleiçi,Çatalca,0,41.170282,28.4699905
265,Karacaköy,Çatalca,0,41.4027993,28.3832594
266,Ovayenice,Çatalca,0,41.100868,28.419696999999996
267,Alemdağ,Çekmeköy,0,41.040391799999995,29.2398227
268,Aydınlar,Çekmeköy,0,41.0182869,29.2277038
269,Cumhuriyet,Çekmeköy,0,41.02386065,29.222868254380003
270,Çamlık,Çekmeköy,0,41.01396810000001,29.1964478
271,Çatalmeşe,Çekmeköy,0,41.0512986,29.241201699999998
272,Ekşioğlu,Çekmeköy,0,41.0296519,29.2414164
273,Güngören,Çekmeköy,0,41.026515,29.219938
274,Hamidiye,Çekmeköy,0,41.0213832,29.188495500000002
275,Kirazlıdere,Çekmeköy,0,41.0194506,29.216790000000003
276,Mehmet Akif,Çekmeköy,0,41.0193597,29.1859343
277,Merkez,Çekmeköy,0,41.0431515,29.170856300000004
278,Mimar Sinan,Çekmeköy,0,41.031844799999995,29.181447
279,Nişantepe,Çekmeköy,0,41.0409901,29.265403999999997
280,Ömerli,Çekmeköy,0,41.0814224,29.3241966
281,Soğukpınar,Çekmeköy,0,41.0254515,29.23657066689349
282,Sultançiftliği,Çekmeköy,0,41.031152299999995,29.2235083
